,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cabo San Lucas,22.8909,-109.9124,76.33,78,100,1.77,MX,1623661200
1,Oriximiná,-1.7656,-55.8661,73.33,87,71,2.77,BR,1623661200
2,George Town,5.4112,100.3354,88.63,64,20,5.37,MY,1623661200
3,Sibolga,1.7427,98.7792,86.11,69,92,4.43,ID,1623661200
4,Saldanha,-33.0117,17.9442,57.94,72,32,2.98,ZA,1623661200
5,Esperance,-33.8667,121.9,51.69,79,76,27.96,AU,1623661200
6,Hofn,64.2539,-15.2082,41.4,60,75,14.16,IS,1623661200
7,Yellowknife,62.456,-114.3525,54.12,82,20,7.96,CA,1623661200
8,Butaritari,3.0707,172.7902,82.67,76,51,13.09,KI,1623661200
9,Kapaa,22.0752,-159.319,74.68,74,20,11.9,US,1623661200
10,Rovaniemi,66.5,25.7167,59.59,50,40,12.15,FI,1623661200
11,Teahupoo,-17.8333,-149.2667,74.41,78,100,15.7,PF,1623661200
12,Port Alfred,-33.5906,26.891,66.29,72,87,9.22,ZA,1623661200
13,Rikitea,-23.1203,-134.9692,75.43,74,100,16.78,PF,1623661200
14,Dauriya,49.9333,116.8667,66.09,76,100,7.78,RU,1623661200
15,Lüderitz,-26.6481,15.1594,75.04,38,35,5.23,NA,1623661200
16,Riyadh,24.6877,46.7219,103.59,8,0,21.0,SA,1623661200
17,Sangar,63.9242,127.4739,66.52,38,100,3.22,RU,1623661200
18,Bambous Virieux,-20.3428,57.7575,79.05,69,40,14.54,MU,1623661200
19,Nikolskoye,59.7035,30.7861,69.28,41,100,8.79,RU,1623661200
20,Punta Arenas,-53.15,-70.9167,38.16,87,40,15.77,CL,1623661200
21,Busselton,-33.65,115.3333,57.2,49,90,18.72,AU,1623661200
22,Jamestown,42.097,-79.2353,57.24,91,1,3.04,US,1623661200
23,Codrington,-38.2667,141.9667,50.86,78,100,7.29,AU,1623661200
24,Middelkerke,51.1558,2.8418,73.2,54,0,5.84,BE,1623661200
25,Santa Maria da Vitória,-13.3947,-44.1886,66.79,81,3,3.8,BR,1623661200
26,Marawi,7.9986,124.2928,79.65,91,69,2.46,PH,1623661200
27,Katsuura,35.1333,140.3,73.18,83,100,6.71,JP,1623661200
28,Nogliki,51.8333,143.1667,45.7,73,8,5.91,RU,1623661200
29,Hobart,-42.8794,147.3294,52.77,90,75,0.89,AU,1623661200
30,Leh,34.1667,77.5833,61.32,24,78,7.09,IN,1623661200
31,Lebu,-37.6167,-73.65,46.13,72,73,21.16,CL,1623661200
32,Qaanaaq,77.484,-69.3632,30.79,76,15,3.91,GL,1623661200
33,Carutapera,-1.195,-46.02,74.37,94,78,4.5,BR,1623661200
34,Albany,42.6001,-73.9662,62.62,86,100,7.2,US,1623661200
35,Atar,20.5169,-13.0499,95.41,13,16,23.53,MR,1623661200
36,Mastic Beach,40.7668,-72.8521,63.23,91,90,9.95,US,1623661200
37,Arraial do Cabo,-22.9661,-42.0278,68.41,65,50,6.82,BR,1623661200
38,Bredasdorp,-34.5322,20.0403,61.18,77,10,3.2,ZA,1623661200
39,Novonukutskiy,53.7002,102.7117,62.65,65,96,6.33,RU,1623661200
40,Vostok,46.4856,135.8833,68.59,47,0,3.76,RU,1623661200
41,Sarankhola,22.3082,89.7897,88.38,71,94,13.38,BD,1623661200
42,Atuona,-9.8,-139.0333,79.57,72,48,24.96,PF,1623661200
43,Sabang,5.8933,95.3214,84.11,76,96,16.28,ID,1623661200
44,Belaya Gora,68.5333,146.4167,63.39,39,100,13.69,RU,1623661200
45,Necochea,-38.5473,-58.7368,52.43,79,100,17.4,AR,1623661200
46,Hermanus,-34.4187,19.2345,61.43,70,6,4.45,ZA,1623661200
47,La Ronge,55.1001,-105.2842,59.25,55,1,5.59,CA,1623661200
48,Cherskiy,68.75,161.3,54.81,42,100,10.0,RU,1623661200
49,Kumul,42.8,93.45,76.51,31,100,15.48,CN,1623661200
50,Chokurdakh,70.6333,147.9167,65.98,36,100,12.33,RU,1623661200
51,Ushuaia,-54.8,-68.3,37.06,70,75,3.62,AR,1623661200
52,São Filipe,14.8961,-24.4956,74.97,78,71,10.98,CV,1623661200
53,Katobu,-4.9408,122.5276,79.38,84,87,3.11,ID,1623661200
54,Pevek,69.7008,170.3133,35.96,81,8,6.6,RU,1623661200
55,Ribeira Grande,38.5167,-28.7,68.72,88,20,0.92,PT,1623661200
56,Archidona,37.0965,-4.3887,76.35,42,1,1.3,ES,1623661200
57,Porto-Novo,6.4965,2.6036,86.88,57,62,7.36,BJ,1623661200
58,Kassala,15.451,36.4,92.05,33,100,7.67,SD,1623661200
59,Fare,-16.7,-151.0167,80.76,74,69,17.72,PF,1623661200
60,Dumas,35.8656,-101.9732,72.01,88,1,10.36,US,1623661200
61,San Patricio,28.017,-97.5169,77.02,94,2,5.68,US,1623661200
62,Hong Kong,22.2855,114.1577,86.65,87,76,12.86,HK,1623661200
63,Labuhan,-6.8844,112.2051,83.86,72,63,7.14,ID,1623661200
64,Show Low,34.2542,-110.0298,65.46,13,1,4.05,US,1623661200
65,Los Llanos de Aridane,28.6585,-17.9182,65.52,89,20,11.56,ES,1623661200
66,Longhua,23.6137,114.1919,90.12,60,80,6.62,CN,1623661200
67,Aksu,41.1231,80.2644,82.67,15,7,5.64,CN,1623661200
68,Upernavik,72.7868,-56.1549,34.32,84,100,5.14,GL,1623661200
69,Araouane,18.9048,-3.5265,100.45,20,23,12.1,ML,1623661200
70,Senj,44.9894,14.9058,71.49,48,1,9.84,HR,1623661200
71,Longyearbyen,78.2186,15.6401,33.64,60,75,12.48,SJ,1623661200
72,Tiksi,71.6872,128.8694,41.34,74,100,5.1,RU,1623661200
73,Flinders,-34.5833,150.8552,57.54,75,93,5.1,AU,1623661200
74,Thompson,55.7435,-97.8558,46.56,93,90,2.8,CA,1623661200
75,Harper,4.375,-7.7169,81.1,80,52,7.67,LR,1623661200
76,Faanui,-16.4833,-151.75,79.5,81,85,16.15,PF,1623661200
77,Sioux Lookout,50.1001,-91.917,57.27,88,90,5.93,CA,1623661200
78,Seredka,58.1584,28.1858,65.95,48,100,6.8,RU,1623661200
79,Bilibino,68.0546,166.4372,62.24,40,99,6.22,RU,1623661200
80,New Norfolk,-42.7826,147.0587,51.89,83,100,1.05,AU,1623661200
81,North Platte,41.1239,-100.7654,70.32,88,75,5.17,US,1623661200
82,Kailua,21.4022,-157.7394,76.05,71,41,16.98,US,1623661200
83,Udachny,66.4167,112.4,52.7,57,100,7.2,RU,1623661200
84,Kidal,18.4411,1.4078,101.44,14,2,6.8,ML,1623661200
